Sample ID,Cell ID,Source ID,Score,tsne-x,tsne-y,Selected,Cluster indicators
discrete,string,discrete,continuous,continuous,continuous,discrete,"AXLSIGLEC6,\ No AXLSIGLEC6,\ Yes BPDCN1,\ No BPDCN1,\ Yes BPDCN2,\ No BPDCN2,\ Yes BPDCN3,\ No BPDCN3,\ Yes BPDCN4,\ No BPDCN4,\ Yes C100C34int,\ No C100C34int,\ Yes CD123NEG,\ No CD123NEG,\ Yes CD141,\ No CD141,\ Yes CD1C,\ No CD1C,\ Yes DoubleNeg,\ No DoubleNeg,\ Yes Mono,\ No Mono,\ Yes pDC,\ No pDC,\ Yes"
class,meta,meta,meta,meta,meta,meta,meta
CD141,CD141_P10_S74,Reference,2.6960844413956444,7.833670139312744,-19.884105682373047,Yes,"CD141, Yes"
CD141,CD141_P10_S78,Reference,2.3093924720364676,9.996854782104492,-20.763507843017578,Yes,"CD141, Yes"
CD141,CD141_P10_S81,Reference,2.7616516114669807,8.130082130432129,-20.084150314331055,Yes,"CD141, Yes"
CD141,CD141_P10_S87,Reference,2.5782601091128923,7.327730178833008,-20.1170597076416,Yes,"CD141, Yes"
CD141,CD141_P10_S90,Reference,2.6849254211577875,9.717845916748047,-20.61215591430664,Yes,"CD141, Yes"
CD141,CD141_P14_S79,Reference,2.714514003391714,7.009319305419922,-19.327943801879883,Yes,"CD141, Yes"
CD141,CD141_P14_S81,Reference,2.575201209943894,7.846013069152832,-18.98276710510254,Yes,"CD141, Yes"
CD141,CD141_P3_S20,Reference,2.447600780799749,6.205212593078613,-19.329008102416992,Yes,"CD141, Yes"
CD141,CD141_P4_S30,Reference,2.2512836367112965,6.337360858917236,-19.18485450744629,Yes,"CD141, Yes"
CD141,CD141_P4_S31,Reference,2.098457431358548,7.286056995391846,-18.471776962280273,Yes,"CD141, Yes"
CD141,CD141_P7_S12,Reference,2.331743212936846,10.159780502319336,-19.64691734313965,Yes,"CD141, Yes"
CD141,CD141_P7_S24,Reference,2.481778991633344,9.44920539855957,-19.649248123168945,Yes,"CD141, Yes"
CD141,CD141_P7_S7,Reference,2.7535209670837326,9.982842445373535,-20.979095458984375,Yes,"CD141, Yes"
CD141,CD141_P8_S42,Reference,2.398064513550158,9.604228973388672,-20.321613311767578,Yes,"CD141, Yes"
CD141,CD141_P9_S51,Reference,2.3793374509290777,9.082300186157227,-20.564762115478516,Yes,"CD141, Yes"
CD141,CD141_P9_S70,Reference,2.3872552623948273,9.622249603271484,-19.712007522583008,Yes,"CD141, Yes"
